Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,1.311733,1.428916,1.207465,1.252151,1.252151,434691
2020-09-12,1.250246,1.356860,1.215073,1.286967,1.286967,502479
2020-09-13,1.289933,1.297760,1.132295,1.280167,1.280167,567225
2020-09-14,1.276012,1.416843,1.154391,1.390659,1.390659,588604
2020-09-15,1.390659,1.390659,1.206783,1.321971,1.321971,523151
2020-09-16,1.322319,1.780945,1.269365,1.606157,1.606157,1785296
2020-09-17,1.606157,1.785844,1.450638,1.732123,1.732123,758290
2020-09-18,1.732123,1.791008,1.639467,1.678115,1.678115,813258
2020-09-19,1.678115,1.819066,1.674489,1.714826,1.714826,832126
2020-09-20,1.712422,1.795481,1.706098,1.720182,1.720182,733317
2020-09-21,1.720182,1.835885,1.707960,1.736778,1.736778,870372
2020-09-22,1.738310,1.746339,1.645024,1.678366,1.678366,628010
2020-09-23,1.727542,1.829207,1.693342,1.816700,1.816700,1911382
2020-09-24,1.814474,3.617020,1.807946,2.275700,2.275700,36042256
2020-09-25,2.277540,2.302502,1.878802,1.888257,1.888257,7373413
2020-09-26,1.886708,1.921854,1.772268,1.786806,1.786806,5051057
2020-09-27,1.784195,1.790541,1.530151,1.530637,1.530637,3269865
2020-09-28,1.530749,1.960963,1.529918,1.659328,1.659328,8937244
2020-09-29,1.659727,1.716050,1.503364,1.640128,1.640128,3754571
2020-09-30,1.645124,1.650370,1.528408,1.568643,1.568643,2569038
2020-10-01,1.565191,1.716597,1.469824,1.553920,1.553920,3323950
2020-10-02,1.542369,1.542370,1.469988,1.524642,1.524642,3070290
2020-10-03,1.525373,1.592385,1.460015,1.463331,1.463331,2638948
2020-10-04,1.463344,1.474289,1.330839,1.368895,1.368895,2554466
2020-10-05,1.371337,1.391718,1.214914,1.250669,1.250669,2682572
2020-10-06,1.240437,1.278464,0.989064,0.999554,0.999554,2533764
2020-10-07,0.997192,1.254372,0.984642,1.201988,1.201988,3314253
2020-10-08,1.202859,1.307501,1.107073,1.290494,1.290494,2991634
2020-10-09,1.313863,1.346432,1.262231,1.276581,1.276581,2492022
2020-10-10,1.286376,1.520083,1.276043,1.453517,1.453517,3268038
2020-10-11,1.456252,1.469530,1.352817,1.363077,1.363077,2750845
2020-10-12,1.376355,1.419361,1.303898,1.392110,1.392110,2572211
2020-10-13,1.350208,1.380318,1.302087,1.342906,1.342906,2413418
2020-10-14,1.353928,1.365270,1.299415,1.343947,1.343947,2318797
2020-10-15,1.345678,1.369921,1.323073,1.329503,1.329503,2428327
2020-10-16,1.325349,1.328348,1.151915,1.166097,1.166097,2224431
2020-10-17,1.169284,1.214337,1.141519,1.173864,1.173864,2094611
2020-10-18,1.179078,1.255673,1.169538,1.248288,1.248288,2240006
2020-10-19,1.248290,1.249364,1.159412,1.160379,1.160379,2124160
2020-10-20,1.166155,1.177470,1.066340,1.083599,1.083599,1845297
2020-10-21,1.077037,1.140910,1.073024,1.109022,1.109022,1545350
2020-10-22,1.114779,1.159329,1.082394,1.129275,1.129275,1784671
2020-10-23,1.126064,1.137856,1.029514,1.057157,1.057157,1810106
2020-10-24,1.057157,1.067407,1.021587,1.035037,1.035037,195598
2020-10-25,1.035037,1.054969,0.989473,1.043647,1.043647,491522
2020-10-26,1.043647,1.141202,1.026092,1.044693,1.044693,2271863
2020-10-27,1.044693,1.107897,1.032028,1.071025,1.071025,1928705
2020-10-28,1.071025,1.096290,0.969325,0.987572,0.987572,375283
2020-10-29,0.987572,0.994411,0.862070,0.879821,0.879821,650275
2020-10-30,0.879821,0.893172,0.815576,0.835603,0.835603,488286
2020-10-31,0.835603,0.841699,0.806165,0.825242,0.825242,197883
2020-11-01,0.825242,0.871094,0.780966,0.796048,0.796048,178763
2020-11-02,0.796048,0.829018,0.772715,0.774156,0.774156,791393
2020-11-03,0.774156,0.774156,0.719609,0.731991,0.731991,490763
2020-11-04,0.731991,0.776323,0.686940,0.765566,0.765566,269365
2020-11-05,0.765566,0.904222,0.762069,0.885071,0.885071,577563
2020-11-06,0.885071,1.059728,0.885071,1.057477,1.057477,574619
2020-11-07,1.057477,1.240220,0.971635,1.007625,1.007625,844670
2020-11-08,1.007625,1.240203,0.980650,1.192962,1.192962,688576
